Sample	Decade	Year_Cut	Soil_Depth	MPB_Impact	Animal Parasite	Animal Pathogen	Arbuscular Mycorrhizal	Dung Saprotroph	Ectomycorrhizal	Endophyte	Epiphyte	Fungal Parasite	Lichen Parasite	Lichenized	Plant Pathogen	Plant Saprotroph	Soil Saprotroph	Undefined Saprotroph	Unknown	Wood Saprotroph
Sample176	Old Forest	Matrix Forest	0-5cm	Non_MPB	0	87	0	3	39135	0	0	0	0	0	4	49	0	145	2510	0
Sample177	Old Forest	Matrix Forest	5-15cm	Non_MPB	0	79	0	105	13658	65	0	0	0	0	54	78	0	615	23621	0
Sample178	Old Forest	Matrix Forest	0-5cm	Non_MPB	0	32	0	18	12598	19	0	2	0	0	0	41	0	296	6276	0
Sample179	Old Forest	Matrix Forest	OrgC	Non_MPB	3	39	0	12	3175	328	0	58	0	0	4195	2197	0	1343	13654	75
Sample18	Recent Cuts	2019	5-15cm	MPB	0	189	32	136	252	0	7	5	0	0	190	211	0	2841	29639	5
Sample180	Old Forest	Matrix Forest	5-15cm	Non_MPB	0	89	90	1830	903	2	0	21	0	0	500	311	39	3293	17695	15
Sample181	Late MPB	2013	0-5cm	MPB	0	9	39	13	180	0	0	8	0	0	151	320	0	472	6773	0
Sample182	Early MPB	2008	0-5cm	MPB	0	117	106	36	2037	0	0	12	0	0	353	207	17	1206	9971	6
Sample183	Early MPB	2008	0-5cm	MPB	0	42	10	41	2894	0	0	12	0	0	15	70	0	386	7268	0
Sample184	Early MPB	2009	0-5cm	MPB	0	310	8	1381	7187	0	0	57	0	0	215	607	34	2837	17819	0
Sample185	Early MPB	2009	0-5cm	MPB	7	437	194	645	469	125	0	251	0	0	353	3307	22	1859	15853	42
Sample186	Late MPB	2013	0-5cm	MPB	0	125	15	129	11061	4	0	0	0	0	65	26	0	1572	15536	0
Sample187	Early MPB	2009	0-5cm	MPB	0	68	104	24	11586	0	27	9	0	0	194	381	35	2189	29717	6
Sample188	Early MPB	2009	0-5cm	MPB	0	640	34	708	21777	2	0	66	0	0	147	2443	360	5706	12889	8
Sample189	Early MPB	2008	0-5cm	MPB	0	57	76	47	282	0	0	0	0	0	7	144	0	720	19865	0
Sample19	2nd PreMPB_NEW	1992	5-15cm	Non_MPB	0	166	0	2017	21472	22	0	18	4	0	1580	837	380	1721	17913	7
Sample190	Early MPB	2008	0-5cm	MPB	0	386	54	517	10402	0	0	49	53	0	294	1046	52	4892	19195	170
Sample191	Early MPB	2009	0-5cm	MPB	11	59	12	17	9327	6	0	84	0	0	183	185	0	509	10867	0
Sample192	Early MPB	2009	0-5cm	MPB	0	138	19	109	8163	0	5	9	2	0	24	281	6	799	11482	0
Sample193	Early MPB	2008	0-5cm	MPB	45	515	37	153	1212	10	0	18	0	0	323	684	155	2149	15749	30
Sample194	Early MPB	2008	0-5cm	MPB	0	122	309	38	5586	0	0	54	17	0	183	2222	24	1758	11282	0
Sample195	1st PreMPB_Old	1986	5-15cm	Non_MPB	0	48	50	407	25497	0	0	0	0	0	111	47	0	893	5038	0
Sample196	Old Forest	Matrix Forest	5-15cm	Non_MPB	0	102	0	2	11620	4	0	0	0	0	51	72	2	1253	17482	0
Sample197	1st PreMPB_Old	1986	0-5cm	Non_MPB	0	35	0	223	16055	0	3	2	0	0	16	24	9	290	2921	0
Sample198	Old Forest	Matrix Forest	OrgC	Non_MPB	0	26	0	114	12793	178	7	0	6	0	958	109	0	2106	13564	8
Sample199	1st PreMPB_Old	1986	OrgC	Non_MPB	0	220	0	217	25095	0	0	4	0	0	99	94	36	758	8597	2
Sample2	Recent Cuts	2019	5-15cm	MPB	4	311	0	483	9125	0	2	41	0	0	170	429	0	3731	25776	0
Sample20	Recent Cuts	2019	5-15cm	MPB	0	191	436	110	655	0	0	31	0	0	100	450	13	2153	46248	0
Sample200	Old Forest	Matrix Forest	OrgC	Non_MPB	0	213	22	3	8902	0	0	9	3	0	117	150	386	592	12278	7
Sample201	Old Forest	Matrix Forest	OrgC	Non_MPB	0	47	0	61	18385	81	4	0	0	0	338	441	2	576	9986	86
Sample202	Old Forest	Matrix Forest	OrgC	Non_MPB	0	300	0	32	19977	41	3	4	0	0	1063	1475	0	1533	26810	6
Sample203	Old Forest	Matrix Forest	OrgC	Non_MPB	2	143	0	47	25758	118	2	0	0	0	537	586	0	628	12229	7
Sample204	Old Forest	Matrix Forest	5-15cm	Non_MPB	0	27	132	285	1685	5	0	0	0	0	49	3033	4	380	26364	0
Sample205	Old Forest	Matrix Forest	OrgC	Non_MPB	0	135	49	49	3338	6	2	11	8	0	171	435	6	1103	22666	9
Sample206	Old Forest	Matrix Forest	OrgC	Non_MPB	13	857	592	193	15524	14	10	156	0	0	1000	2468	295	4474	50002	183
Sample207	Old Forest	Matrix Forest	OrgC	Non_MPB	0	115	57	104	1343	0	0	5	0	0	186	1541	50	969	6823	8
Sample208	Old Forest	Matrix Forest	0-5cm	Non_MPB	0	35	0	18	9691	0	0	0	0	0	65	43	0	294	4423	0
Sample209	1st PreMPB_Old	1989	0-5cm	Non_MPB	0	157	2	155	9329	3	0	0	0	0	22	651	52	1136	4632	0
Sample21	1st PreMPB_Old	1988	5-15cm	Non_MPB	0	0	0	27	21379	0	0	0	0	0	112	153	0	322	11155	0
Sample210	Recent Cuts	2019	0-5cm	MPB	0	1579	462	190	2577	0	2	65	18	0	607	855	56	2473	28420	22
Sample211	Recent Cuts	2019	0-5cm	MPB	0	184	102	11	3049	5	0	23	0	0	74	165	0	1241	18982	0
Sample212	2nd PreMPB_NEW	1992	0-5cm	Non_MPB	0	289	0	21	25884	0	0	0	2	0	68	603	25	797	6604	0
Sample213	Recent Cuts	2018	0-5cm	MPB	0	155	0	69	1967	0	0	0	0	0	757	251	2	880	19282	0
Sample214	Recent Cuts	2019	0-5cm	MPB	0	56	0	45	16	0	56	21	0	0	159	135	0	1044	9966	2
Sample215	Recent Cuts	2019	0-5cm	MPB	0	354	1227	112	104	0	0	69	3	0	406	1582	13	2454	19777	0
Sample216	1st PreMPB_Old	1989	0-5cm	Non_MPB	0	77	0	8	7042	0	5	0	0	0	13	908	31	284	21460	7
Sample217	1st PreMPB_Old	1989	0-5cm	Non_MPB	0	131	16	91	18734	3	0	0	3	0	130	1035	45	1233	7478	5
Sample218	2nd PreMPB_NEW	1996	0-5cm	Non_MPB	0	26	0	40	3608	29	0	0	0	0	32	97	0	201	17119	0
Sample219	Recent Cuts	2018	0-5cm	MPB	0	242	23	219	511	87	0	30	0	0	148	353	0	3457	16461	0
Sample22	Recent Cuts	2018	OrgC	MPB	4	237	0	206	213	142	21	60	9	0	1291	2058	30	2087	23861	16
Sample220	Recent Cuts	2019	0-5cm	MPB	0	191	47	77	916	0	0	0	0	0	156	3812	4	1554	10579	0
Sample221	Recent Cuts	2018	0-5cm	MPB	0	44	36	54	2832	43	4	2	0	0	138	1210	14	1316	12978	0
Sample222	2nd PreMPB_NEW	1996	0-5cm	Non_MPB	0	228	10	578	14410	53	3	0	64	0	140	3527	107	1898	9976	0
Sample223	Recent Cuts	2019	0-5cm	MPB	3	613	0	136	6550	0	0	22	19	0	225	333	0	2896	22740	0
Sample224	1st PreMPB_Old	1988	0-5cm	Non_MPB	0	111	10	192	10836	0	0	4	0	0	44	514	23	468	9693	0
Sample225	2nd PreMPB_NEW	1992	0-5cm	Non_MPB	0	129	3	234	17560	3	4	4	18	0	230	649	142	790	6718	0
Sample226	1st PreMPB_Old	1988	0-5cm	Non_MPB	0	19	6	36	14358	2	0	3	0	0	36	57	9	283	5825	0
Sample227	1st PreMPB_Old	1988	0-5cm	Non_MPB	0	61	8	48	3965	0	0	2	0	0	6	1008	19	393	5781	0
Sample228	2nd PreMPB_NEW	1992	0-5cm	Non_MPB	0	107	8	476	13539	0	10	2	6	0	1802	2231	266	1384	11010	7
Sample229	2nd PreMPB_NEW	1996	0-5cm	Non_MPB	0	44	0	12	4991	39	0	2	0	0	14	78	0	199	7559	0
Sample23	2nd PreMPB_NEW	1992	OrgC	Non_MPB	0	126	0	828	1232	0	60	314	21	0	7173	4064	660	3617	19121	23
Sample24	Recent Cuts	2019	OrgC	MPB	6	1404	16	161	102	12	8	173	68	0	4625	1453	446	4768	12095	106
Sample25	Recent Cuts	2019	OrgC	MPB	164	339	0	476	189	70	20	149	217	0	2387	1939	17	5082	25654	0
Sample26	Recent Cuts	2019	OrgC	MPB	14	542	121	199	435	70	23	30	38	0	1409	1229	136	3256	27092	73
Sample27	Recent Cuts	2018	OrgC	MPB	0	433	0	106	154	458	27	50	31	0	643	458	6	1829	14437	5
Sample28	2nd PreMPB_NEW	1996	OrgC	Non_MPB	0	208	0	37	5761	489	32	58	51	0	3983	1234	65	2359	11447	10
Sample29	1st PreMPB_Old	1988	OrgC	Non_MPB	0	372	5	70	19480	352	5	23	70	0	463	295	423	988	11411	14
Sample3	Recent Cuts	2018	5-15cm	MPB	0	331	0	45	1765	5	0	0	0	0	423	248	0	947	23396	0
Sample30	1st PreMPB_Old	1989	OrgC	Non_MPB	0	463	0	128	7216	9	0	71	13	0	1236	1157	1093	674	15255	13
Sample31	2nd PreMPB_NEW	1996	OrgC	Non_MPB	0	186	0	197	2822	6849	32	225	730	3	9275	1907	152	5017	15140	31
Sample32	1st PreMPB_Old	1989	OrgC	Non_MPB	0	85	0	51	7108	104	8	7	30	0	600	680	211	1998	8268	46
Sample33	Recent Cuts	2018	OrgC	MPB	0	67	0	34	267	6	6	0	0	0	3514	309	4	982	15323	0
Sample34	Recent Cuts	2019	OrgC	MPB	4	215	0	308	21	62	11	30	81	0	2400	950	8	2655	20297	44
Sample35	1st PreMPB_Old	1988	OrgC	Non_MPB	0	285	4	125	23617	23	3	2	2	0	122	408	211	942	14741	0
Sample36	Recent Cuts	2019	OrgC	MPB	0	110	11	12	123	8	11	9	59	0	200	2914	9	575	4028	23
Sample37	2nd PreMPB_NEW	1996	OrgC	Non_MPB	0	588	16	129	18272	205	2	14	2	0	330	913	65	1433	14564	14
Sample38	2nd PreMPB_NEW	1992	OrgC	Non_MPB	0	491	0	379	16253	16	0	0	35	0	276	2751	221	1203	5765	3
Sample39	Recent Cuts	2018	OrgC	MPB	0	198	54	90	512	163	27	60	0	0	1198	1785	258	2435	23055	5
Sample4	2nd PreMPB_NEW	1996	5-15cm	Non_MPB	0	20	0	6	2961	29	0	2	0	0	5	45	0	321	20231	0
Sample40	Recent Cuts	2019	OrgC	MPB	0	575	149	289	29	176	20	80	105	0	6402	5807	33	2486	18887	2
Sample41	1st PreMPB_Old	1988	OrgC	Non_MPB	0	186	0	88	11153	235	0	17	121	0	572	2470	826	1370	12657	18
Sample42	Recent Cuts	2019	OrgC	MPB	0	480	65	79	224	37	8	3	0	0	1303	1319	101	2620	22282	0
Sample43	1st PreMPB_Old	1989	OrgC	Non_MPB	0	354	0	227	14962	130	0	43	3	0	1330	888	927	1878	15305	12
Sample44	2nd PreMPB_NEW	1992	OrgC	Non_MPB	18	261	0	281	14375	0	32	55	206	0	1621	856	1194	1922	16116	3
Sample45	Late MPB	2013	OrgC	MPB	0	441	0	517	244	0	7	310	4	0	3947	3594	151	5567	10129	18
Sample46	Late MPB	2014	OrgC	MPB	12	337	49	368	17243	0	0	1228	233	0	1128	1110	392	5684	18839	2
Sample47	Late MPB	2013	OrgC	MPB	0	882	0	373	1092	19	13	426	29	4	2634	3744	449	9099	11758	18
Sample48	Late MPB	2013	OrgC	MPB	0	374	0	171	1600	75	43	139	0	0	1794	5074	16	4360	11869	17
Sample49	Late MPB	2012	OrgC	MPB	283	167	44	104	2	15	0	197	6	0	1682	2861	261	4685	15806	57
Sample5	1st PreMPB_Old	1989	5-15cm	Non_MPB	0	66	17	148	13694	0	0	0	0	0	44	702	16	3548	14258	0
Sample50	Late MPB	2014	OrgC	MPB	0	1285	0	7	73	0	11	204	81	0	690	453	93	2509	18954	3
Sample51	Late MPB	2014	OrgC	MPB	20	721	0	233	26	12	0	159	0	0	3200	7192	1657	6242	9870	5
Sample52	Late MPB	2014	OrgC	MPB	2	152	0	161	11491	0	0	36	1668	0	435	2270	12	1607	23256	29
Sample53	Late MPB	2012	OrgC	MPB	0	441	0	394	16	0	12	111	0	0	1049	3165	83	4356	24249	16
Sample54	Late MPB	2012	OrgC	MPB	27	319	0	1305	3265	0	0	83	0	0	1583	1396	388	4045	8294	86
Sample55	Late MPB	2014	OrgC	MPB	47	143	0	20	2959	23	73	159	0	0	828	387	0	3143	13397	9
Sample56	Late MPB	2013	OrgC	MPB	0	101	0	248	9963	0	4	16	25	0	964	255	0	1955	12152	0
Sample57	Late MPB	2013	OrgC	MPB	0	528	0	1437	1501	10	6	189	32	0	1543	881	714	4392	10670	22
Sample58	Late MPB	2013	OrgC	MPB	5	157	231	11	79	0	0	91	19	0	1405	5116	48	1531	15819	47
Sample59	Recent Cuts	2019	OrgC	MPB	0	562	0	2728	410	142	41	36	0	0	6697	1033	13	3352	20313	0
Sample6	Recent Cuts	2018	5-15cm	MPB	0	103	16	416	1597	67	2	24	0	0	86	247	6	4118	23133	0
Sample60	Late MPB	2014	OrgC	MPB	7	222	0	741	2505	0	20	357	13	0	1916	607	7	5232	10308	7
Sample61	Recent Cuts	2019	OrgC	MPB	0	16	0	34	110	57	9	2	137	0	1788	411	16	1811	12625	0
Sample62	Recent Cuts	2019	OrgC	MPB	6	309	0	1075	437	0	18	3	8	0	1027	567	3	6102	19372	4
Sample63	Recent Cuts	2019	OrgC	MPB	6	174	0	107	378	11	27	144	0	0	3486	495	44	4814	22341	5
Sample64	Late MPB	2014	5-15cm	MPB	0	232	375	771	656	0	0	70	0	0	913	1584	47	2921	16083	3
Sample65	Recent Cuts	2019	5-15cm	MPB	0	155	0	1511	3744	0	0	2	0	0	620	465	7	10880	21124	0
Sample66	Recent Cuts	2019	5-15cm	MPB	0	26	0	706	2684	28	0	0	0	0	409	96	7	3609	23163	0
Sample67	Early MPB	2009	5-15cm	MPB	5	439	55	1304	7952	0	0	54	0	0	512	622	48	3248	21042	0
Sample69	Late MPB	2014	5-15cm	MPB	0	90	47	988	9723	0	0	10	0	0	275	144	0	1986	29452	0
Sample7	1st PreMPB_Old	1989	5-15cm	Non_MPB	0	119	0	11	12688	0	2	0	0	0	34	1112	5	384	34067	2
Sample70	Late MPB	2014	5-15cm	MPB	0	127	0	384	6277	0	0	6	8	0	516	468	0	759	29003	2
Sample71	Late MPB	2014	5-15cm	MPB	0	137	168	151	2188	0	0	0	37	0	617	119	3	5745	21221	0
Sample72	Late MPB	2012	5-15cm	MPB	0	189	117	1941	155	0	0	90	0	0	848	716	8	2360	17605	0
Sample73	Late MPB	2013	5-15cm	MPB	0	20	129	47	3295	0	0	3	0	0	214	922	9	872	14719	0
Sample74	Late MPB	2013	5-15cm	MPB	0	191	51	400	6970	2	0	0	0	0	32	45	0	1245	19373	0
Sample75	Late MPB	2013	5-15cm	MPB	0	97	0	683	17126	13	0	12	0	0	80	370	36	1211	11529	0
Sample76	Recent Cuts	2019	5-15cm	MPB	0	174	62	316	2348	3	0	44	0	0	1193	185	13	2766	28707	0
Sample77	Early MPB	2008	5-15cm	MPB	0	609	163	662	4393	0	0	0	0	0	429	576	0	1600	21730	4961
Sample78	Early MPB	2008	5-15cm	MPB	8	195	36	91	1365	16	0	0	0	0	169	1031	17	886	18487	16
Sample79	Early MPB	2008	5-15cm	MPB	0	306	262	117	533	0	0	12	0	0	67	497	3	1651	28197	0
Sample8	Recent Cuts	2019	5-15cm	MPB	0	799	319	17	10165	0	0	0	0	0	311	262	0	1068	15448	0
Sample80	Early MPB	2008	5-15cm	MPB	0	31	97	15	1933	0	0	29	0	0	107	1005	0	227	4839	0
Sample81	Early MPB	2008	5-15cm	MPB	0	64	156	22	1625	0	0	16	0	0	248	254	10	1881	12689	0
Sample82	Early MPB	2008	5-15cm	MPB	0	81	43	9	2289	0	0	4	0	0	38	19	0	487	11254	0
Sample83	Old Forest	Matrix Forest	0-5cm	Non_MPB	0	212	76	271	19674	0	0	0	0	0	68	108	3	1491	16022	0
Sample84	Old Forest	Matrix Forest	OrgC	Non_MPB	0	141	17	31	17191	21	2	0	0	0	648	746	0	2278	8554	8
Sample85	Old Forest	Matrix Forest	NA	Non_MPB	0	40	0	19	12346	0	0	0	0	0	70	45	0	4676	16283	0
Sample86	Old Forest	Matrix Forest	NA	Non_MPB	0	137	0	0	16061	0	0	0	0	0	52	80	3	7863	17445	0
Sample87	Old Forest	Matrix Forest	0-5cm	Non_MPB	0	97	113	54	11125	0	0	0	0	0	42	171	0	549	15174	0
Sample88	Old Forest	Matrix Forest	0-5cm	Non_MPB	0	100	161	371	4966	6	0	15	76	0	121	5470	8	1180	57392	0
Sample89	Old Forest	Matrix Forest	0-5cm	Non_MPB	0	19	0	16	7673	0	0	0	0	0	36	34	0	479	7949	0
