Feature ID	Taxonomy
7d2147479d90cc5b250a2aeca715d8c6	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__Venturia
e3442e188357e8c66cfd51f11a0c4808	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__Solicoccozyma_aeria;sh__SH1334237.09FU
e6282bafbb1360dba66fb3070bc84c9a	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Thelephora;s__Thelephora_sp;sh__SH1778944.09FU
ef031164a6885ce06683737b43a8bb63	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales
94db3e4b5dfee8478705a1de3920d407	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
29f51b4e8dfea7306734a44122b0081b	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma;s__Piloderma_sp;sh__SH1455779.09FU
6a125d96b49fb7632fb2344d983320dd	k__Fungi;p__Basidiomycota;c__Agaricomycetes
56f422c3001a174b79a07ec0e8a4ba1c	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Wilcoxina;s__Wilcoxina_rehmii;sh__SH1347045.09FU
050aba59e160cff771292c20deb29ed1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma;s__Piloderma_sp;sh__SH1455779.09FU
43bfd0984cb5458ddab3feec8e515627	k__Fungi;p__Ascomycota;c__Eurotiomycetes
963a75cbbebcb5cb9ff80a3f5fcec109	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__Venturia
bd69064d6c317171583bf75fed0088f0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
a11cb66a34558eea38aba72952ef7309	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Linnemannia;s__Linnemannia_amoeboidea;sh__SH2088875.09FU
006e1980e8762bb8f67ed0c13e845ab1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Thelephora;s__Thelephora_sp;sh__SH1778944.09FU
ec48ad08164f58296305b6793e270981	k__Fungi;p__Basidiomycota;c__Agaricomycetes
04db044aa241407e91d20c93c45ce330	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
60279ccd5cc66bb1e6b1924cc42fc827	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Thelephora
d031c5d17c3f4f5af5825e193db01cce	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula;s__Rhodotorula_kratochvilovae;sh__SH1574396.09FU
010020f42604f0fb11ebaa71b3ddb3f5	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Wilcoxina;s__Wilcoxina_rehmii;sh__SH1347045.09FU
75fa54177a583ddaa78ed8ad107c1946	k__Fungi;p__Ascomycota;c__Eurotiomycetes
70e28d14c61a3dea48d61e103300c86e	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholoma;s__Tricholoma_bonii;sh__SH1712046.09FU
7ca71dc00d58bff926c3ff6b1ade92ec	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__Russula_pseudotsugarum;sh__SH1586728.09FU
acbe90aa4931908f6786fd8fe7ef6e6d	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma
9dfe59dab918d3fb8539b87a58eabcdd	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_silvae-herbaceae;sh__SH1987025.09FU
ffe65761d87fee205a83647cc47ec82b	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Thelephoraceae_gen_Incertae_sedis;s__Thelephoraceae_sp;sh__SH1817293.09FU
ebb7566335c26870e2a0ffb81a8789c7	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma;s__Piloderma_lanatum;sh__SH1870371.09FU
382ac7fa974032c2d3789d4d3a581ebd	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma
1a43a5f0a687eb4a4c1a1831f36785b3	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius
5ada975ef96adfc1456af9b730db6c11	k__Fungi
ab2eca8aa601c2d72e1a3a449effb052	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius
e380d6cb7d5f16a5a7c135ec7c3ca977	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Cladophialophora;s__Cladophialophora_humicola;sh__SH1415840.09FU
5497bf416a31349682888379d32fddde	k__Fungi;p__Basidiomycota;c__Agaricomycetes
179641fa332f7fbd0221d3e3e4e53270	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales
79ee266ae41d58792d344bcddd7da9c0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_silvae-herbaceae;sh__SH1987025.09FU
3a69575a4224a63be175739c3f9fdde6	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae
9ec71321cd19181c456c37f1bf65a40e	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Fonsecaea;s__Fonsecaea_nubica;sh__SH1681349.09FU
22775fe1dd8780bb715f26424eb443c8	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentella;s__Tomentella_sp;sh__SH1816597.09FU
75f7ca214f32f98ddcb98cd8977179d8	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_silvae-herbaceae;sh__SH1987025.09FU
0dae0c415ea617c1d6dfce565a71d7a8	k__Fungi;p__Basidiomycota;c__Agaricomycetes
a29a48b4f9ccc3dc197973b63ec89458	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma;s__Piloderma_bicolor;sh__SH1455679.09FU
a4e1f33decb66e44931fb51317b4850b	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium
9da6d0fecd721069f77f26bf75a7d068	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Phacidiales;f__Phacidiaceae;g__Gloeopycnis;s__Gloeopycnis_protuberans;sh__SH1478400.09FU
5d10f2d356fc7fee597b813aa11e43f5	k__Fungi;p__Basidiomycota;c__Agaricomycetes
db7ae45caac6bf7139bc8d7d443fbbf1	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Fonsecaea;s__Fonsecaea_nubica;sh__SH1681349.09FU
83a530749e074952f811a429eeb53d08	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales
86dab2d4cec90895521791c604026468	k__Fungi
27755c8e0d8552b35bfad21c16dbd8d4	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales
ebef2a6d2036d7d35057a51b3c5eb9b1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholoma
863e2ec2169f6f2291961aefd8d7a526	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma
b8bb58bf399fef61f76cf81ea677a8cc	k__Fungi
edb8e247987be1a7950a1b5e0488fba9	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholoma;s__Tricholoma_olivaceum;sh__SH1711618.09FU
3e761edf9efc30fb46d0fa9ef380f767	k__Fungi;p__Basidiomycota
58354634e67932fb1de7826c4fe3450d	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma;s__Piloderma_sp;sh__SH1455779.09FU
f23c0f77f47eba9f120dcc320a1c0e0b	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
1b7c86f256798aa9bc99864564a932d2	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_silvae-herbaceae;sh__SH1987025.09FU
c2f1c1e4a2e7074a3811cead7c8c5898	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae
4cf3b5580ef4e764996475f86d2e6dbd	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Helotiales_gen_Incertae_sedis;s__Helotiales_sp;sh__SH1496971.09FU
702e93c23d64a80f214c4abf5dd89aa3	k__Fungi;p__Basidiomycota;c__Agaricomycetes
6855ad03a441e980f3832d50c0cd604f	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_silvae-herbaceae;sh__SH1987025.09FU
46a406bcfb07863b75e0d7070af61f0f	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma;s__Piloderma_bicolor;sh__SH1455679.09FU
ded7f2d41afd27a8402a7dfc7a9d7f71	k__Fungi;p__Basidiomycota;c__Agaricomycetes
12c01b4612cae41829196868b473e424	k__Fungi;p__Ascomycota
96a0599e3c3daffc7d8b7a92c163ca23	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma;s__Piloderma_sp;sh__SH1455779.09FU
8bd1c90e7de80796070a7c6785f3a1ef	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Acephala;s__Acephala_sp;sh__SH1442458.09FU
74ece1f43ea1c9f597abb09ea17124da	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales
17accd18ff3b6da09abf6c92cb067583	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma;s__Piloderma_lanatum;sh__SH1870371.09FU
43ee8477585c2b777091e5bee9f1af17	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_silvae-herbaceae;sh__SH1987025.09FU
8decc2ec8fcb16d9e92b92b2f34d2701	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Lyophyllaceae;g__Lyophyllum;s__Lyophyllum_shimeji;sh__SH1804900.09FU
d458fc01ea67ab2bc218b1b029986276	k__Fungi;p__Ascomycota;c__Leotiomycetes
081197def38a16ea206a9bf9d1d13d23	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola;s__Leohumicola_atra;sh__SH1526571.09FU
2ee32e4ef230cd0332e182b8575b9234	k__Fungi;p__Ascomycota
2fa79dda4897bc03e62cfa1a751221f8	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius
da8414545055e7ebd7eff1e9c067ed4c	k__Fungi;p__Basidiomycota;c__Agaricomycetes
4a66c0ff557385d3257e61df34d9aad2	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
123a30c921947ae80a4746828f7c3223	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholoma;s__Tricholoma_argyraceum;sh__SH1711884.09FU
7c17c8bf5f3de658d1640dd53299a3cc	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Linnemannia;s__Linnemannia_camargensis;sh__SH1366784.09FU
a61376291ebb68353e4c73b5aa106f93	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Clitopilus;s__Clitopilus_brunneiceps;sh__SH2015034.09FU
e21fb51e7e179207b06de5cd3840b917	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales
5d4cfca3cce61946b9da38079c57d92a	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Lycoperdaceae;g__Lycoperdon;s__Lycoperdon_nigrescens;sh__SH1464345.09FU
4dc07218035900e8f501b0e01e23686b	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales
9a0ab5db3d971b086cf0746b1a205751	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Ploettnerulaceae;g__Oculimacula;s__Oculimacula_yallundae
7a8abd7f9a980ce45d03957edcad3aa1	k__Fungi;p__Basidiomycota
d1e1605a143b861990bfea538606437a	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Polyozellus;s__Polyozellus_mariae;sh__SH1923315.09FU
7a97d379c1a617025a755c5ea89b8b9a	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__Venturia
aba728184ecbdeb4758af283d5d208f8	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Leotiales;f__Cochlearomycetaceae;g__Satchmopsis;s__Satchmopsis_metrosideri;sh__SH1513315.09FU
af0b15b48faad293b61c793bf4449d8a	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentella;s__Tomentella_sp;sh__SH1818174.09FU
