#TAXONOMY	Kingdom	Phyla	Class	Order	Family	Genus	Species
31aa490031cb056cba1625268bbf511c	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unknown	Unknown	Unknown
785aa7cc42c8d215ff3a4a78961c6404	Fungi	Basidiomycota	Agaricomycetes	Unknown	Unknown	Unknown	Unknown
5e24de9c76ecea0b00e65c942f79a123	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Unknown	Unknown
11fc380950f44bfed27604b9955b3b8d	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unknown	Unknown	Unknown
67a92225b1bd747c271bdfa636dfc168	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium	Leucosporidium_escuderoi
00225ad8137f6c3249f0dd2d66746e68	Fungi	Basidiomycota	Unknown	Unknown	Unknown	Unknown	Unknown
98e9d28d5bda112c70037d1dd3ee2b5d	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia_camargensis
d75606009abe36006cc13551bc05977b	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unknown	Unknown	Unknown
100254255fc046d77006f72bce158856	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	Pseudeurotium_desertorum
3e1a653034f6ee84905332b14277bacd	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Unknown
b0fe4b4edd50c83af024ff998bdc6ba6	Fungi	Basidiomycota	Agaricomycetes	Unknown	Unknown	Unknown	Unknown
cbdb94182e2d8bf82d27f9d993d22509	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unknown	Unknown	Unknown
b76ca37a6537d2f2a059937748b0005b	Fungi	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
c1391a200f2214b30d188abb52d4f005	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	Unknown
5315e25c6a63e214b6531f4f28b96fd1	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	Pseudeurotium_desertorum
29925e3d642f62d0f94b6cf87c14a3b5	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unknown	Unknown	Unknown
79abcde83bf9fdeaa28d0e03d6725a4f	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula_kratochvilovae
52bf651f68c52ee9cff1e8ef1ed3ee89	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula_kratochvilovae
434fa324dec783e900a147249a993b6d	Fungi	Ascomycota	Leotiomycetes	Unknown	Unknown	Unknown	Unknown
36624ec38ed7a2ebb9fdc78327d9faaa	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unknown	Unknown	Unknown
8b41be3390d4868b78b1627648a273e6	Fungi	Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown
df5e3ccd73aba3681de74ddb000c0b7b	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscyphaceae_gen_Incertae_sedis	Hyaloscyphaceae_sp
a9657489c83c27556b325116b834bc41	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Pilodermataceae	Piloderma	Piloderma_sp
a6d4792df09c5195fb2bb8050cf8700c	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Unknown
