Feature ID	Taxon	Phyla	Class	Order	Family	Genus	Species	Sequence_Hierarchy	Guild	Trophic_Mode
ec9c76fcab0ff99f8d8e6c679bc03919	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Chalara	Chalara_recta	SH1513070.09FU	Plant Saprotroph	Multiple
70d627358ccb87a85dccce1a30053841	Fungi									Unknown
1627c4c25b97d09a9562e5e63717b906	Fungi									Unknown
db73ace7aa4b8dc4d76bebdf02a84242	Fungi	Ascomycota								Unknown
5f49966e1a19d28b11fff2aff534c7f2	Fungi	Basidiomycota	Agaricomycetes							Unknown
3b385089978fff0c6a62da985dd5a7b4	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis_caledonium		Arbuscular Mycorrhizal	Symbiotroph
7bfb72d7bf1a277bb762aae30beb4c66	Fungi	Ascomycota	Leotiomycetes	Helotiales						Unknown
a4439a1c13db9e64f42534f02f81ca1b	Fungi	Ascomycota								Unknown
cf7d3d4b211438b1043f3129186c4376	Fungi	Ascomycota	Eurotiomycetes							Unknown
d2cf79c541735bc0fe05972e05751bcd	Fungi	Ascomycota	Eurotiomycetes							Unknown
5b80a4c66278006595804c7424d06063	Fungi									Unknown
28cc187d5cbd8af1f536313b680345a6	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae					Multiple
92b94501ac2596fe4a587000dcf4aa0d	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum_sporotrichoides	SH1556031.09FU		Saprotroph
5589df5bc6a297d9ace7860d2dacb569	Fungi	Ascomycota								Unknown
337b0982ca866f909715a6fa66b588a6	Fungi	Basidiomycota								Unknown
d8a7b6e3e807787b4180151a3202b5fa	Fungi	Ascomycota								Unknown
9036b98843dbf0827a32577f7ef33410	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Sclerostagonospora	Sclerostagonospora_cycadis	SH1692021.09FU	Plant Saprotroph	Multiple
477f1581ae74d0a497f2aac481f334fa	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Lycoperdon			Plant Saprotroph	Saprotroph
e4f215a03e16e84c69ac02263b66b1ab	Fungi									Unknown
5fb44cd1194fa6c7bf4649f2723aa3f8	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	Knufia_tsunedae	SH1682696.09FU	Soil Saprotroph	Saprotroph
3b30d2d3347301c013011f11c44a98d8	Fungi									Unknown
49fcb24ab5c35a594ead2235cf0afaab	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Phaeotremellaceae	Phaeotremella	Phaeotremella_fimbriata	SH1556890.09FU	Fungal Parasite	Pathotroph
9b12be1206dd097e80a0cfdc853e31a1	Fungi									Unknown
9adff42dcd906b03786199faf4ffff3d	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis			Arbuscular Mycorrhizal	Symbiotroph
31ec8551166ef7f2839a00e583bde60e	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Leohumicola	Leohumicola_atra	SH1526571.09FU	Undefined Saprotroph	Multiple
e3a504a368235a60cce38cee71d848fb	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales						Unknown
9969e60c9971887a4e4b46d3c1adf1b1	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Pilodermataceae	Piloderma	Piloderma_lanatum	SH1870371.09FU	Ectomycorrhizal	Symbiotroph
2d0f0d1c5ff457b14c483401c4a12a17	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora_humicola	SH1415840.09FU	Undefined Saprotroph	Multiple
0b93e3ff79a2e6ca6b74487dfaa9c67e	Fungi									Unknown
4e56ec8dd066e5ef2658fd7761e87b71	Fungi	Ascomycota	Leotiomycetes							Unknown
736d1cd172288298d5357906b90e0539	Fungi	Basidiomycota								Unknown
a93c4250902a090dba3933cb8c1d68ae	Fungi	Ascomycota								Unknown
77bf1f77eaac2c61497c982287ec0ba0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora_humicola	SH1415840.09FU	Undefined Saprotroph	Multiple
f689298d769b1b97b938bf844d40f0ff	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius			Ectomycorrhizal	Symbiotroph
0205535b792682c9ab73d834aa448c77	Fungi	Ascomycota	Sordariomycetes	Hypocreales						Saprotroph
1bb300d8d2ece29da0c00eeb7370ce91	Fungi	Ascomycota								Unknown
f705a1854e3fd666d709274ceb8a2579	Fungi									Unknown
16c898bb969766c560027f2b5dd74ca8	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	Lophiostoma_rosae	SH1341707.09FU	Wood Saprotroph	Saprotroph
b057c4421ca5bbdf3742c801afc2caba	Fungi	Basidiomycota								Unknown
52ac3d08cdf9fbc9441c8eb0d8498e69	Fungi	Ascomycota								Unknown
a59dd9beea8cf10923ec01f1b74dbe96	Fungi	Ascomycota	Sordariomycetes							Unknown
d024e46f5bee0e52269c09962a538e65	Fungi	Ascomycota								Unknown
7ead0b32f19bec539d2531a445d5c5b3	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Fonsecaea	Fonsecaea_nubica	SH1681349.09FU	Animal Pathogen	Pathotroph
690e0468a42be56ef6e7fe4c147e567a	Fungi	Basidiomycota								Unknown
ea9e5fdf4f423961e4f932a1a27aa8db	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Paraboeremia	Paraboeremia_selaginellae	SH1532013.09FU	Undefined Saprotroph	Saprotroph
61f6713ff7660dc116f269bccf1c8064	Fungi	Ascomycota								Unknown
87d09b1186869f9d08e348cb62f07cf7	Fungi	Basidiomycota	Agaricomycetes							Unknown
9196175be262ff9d051bcc8246ce9916	Fungi									Unknown
b84aa8cc57cf64baa54395845e0fc348	Fungi	Ascomycota								Unknown
