#OTU ID	Decade	Year_Cut	Soil_Depth	Salvage_Harvest_Status
Sample26	Recent Cuts	2019	OrgC	Salvage_Harvested
Sample27	Recent Cuts	2018	OrgC	Salvage_Harvested
Sample28	2nd PreMPB_NEW	1996	OrgC	Non_Salvage_Harvested
Sample29	1st PreMPB_Old	1988	OrgC	Non_Salvage_Harvested
Sample3	Recent Cuts	2018	5-15cm	Salvage_Harvested
Sample30	1st PreMPB_Old	1989	OrgC	Non_Salvage_Harvested
Sample31	2nd PreMPB_NEW	1996	OrgC	Non_Salvage_Harvested
Sample32	1st PreMPB_Old	1989	OrgC	Non_Salvage_Harvested
Sample33	Recent Cuts	2018	OrgC	Salvage_Harvested
Sample34	Recent Cuts	2019	OrgC	Salvage_Harvested
Sample35	1st PreMPB_Old	1988	OrgC	Non_Salvage_Harvested
Sample36	Recent Cuts	2019	OrgC	Salvage_Harvested
Sample37	2nd PreMPB_NEW	1996	OrgC	Non_Salvage_Harvested
Sample38	2nd PreMPB_NEW	1992	OrgC	Non_Salvage_Harvested
Sample39	Recent Cuts	2018	OrgC	Salvage_Harvested
Sample4	2nd PreMPB_NEW	1996	5-15cm	Non_Salvage_Harvested
Sample40	Recent Cuts	2019	OrgC	Salvage_Harvested
Sample41	1st PreMPB_Old	1988	OrgC	Non_Salvage_Harvested
Sample42	Recent Cuts	2019	OrgC	Salvage_Harvested
Sample43	1st PreMPB_Old	1989	OrgC	Non_Salvage_Harvested
Sample44	2nd PreMPB_NEW	1992	OrgC	Non_Salvage_Harvested
Sample45	Late MPB	2013	OrgC	Salvage_Harvested
Sample46	Late MPB	2014	OrgC	Salvage_Harvested
Sample47	Late MPB	2013	OrgC	Salvage_Harvested
Sample48	Late MPB	2013	OrgC	Salvage_Harvested
Sample49	Late MPB	2012	OrgC	Salvage_Harvested
Sample5	1st PreMPB_Old	1989	5-15cm	Non_Salvage_Harvested
Sample50	Late MPB	2014	OrgC	Salvage_Harvested
Sample51	Late MPB	2014	OrgC	Salvage_Harvested
Sample52	Late MPB	2014	OrgC	Salvage_Harvested
Sample53	Late MPB	2012	OrgC	Salvage_Harvested
Sample54	Late MPB	2012	OrgC	Salvage_Harvested
Sample55	Late MPB	2014	OrgC	Salvage_Harvested
Sample56	Late MPB	2013	OrgC	Salvage_Harvested
Sample57	Late MPB	2013	OrgC	Salvage_Harvested
Sample58	Late MPB	2013	OrgC	Salvage_Harvested
Sample59	Recent Cuts	2019	OrgC	Salvage_Harvested
Sample6	Recent Cuts	2018	5-15cm	Salvage_Harvested
Sample60	Late MPB	2014	OrgC	Salvage_Harvested
Sample61	Recent Cuts	2019	OrgC	Salvage_Harvested
Sample62	Recent Cuts	2019	OrgC	Salvage_Harvested
Sample63	Recent Cuts	2019	OrgC	Salvage_Harvested
Sample64	Late MPB	2014	5-15cm	Salvage_Harvested
Sample65	Recent Cuts	2019	5-15cm	Salvage_Harvested
Sample66	Recent Cuts	2019	5-15cm	Salvage_Harvested
Sample67	Early MPB	2009	5-15cm	Salvage_Harvested
Sample69	Late MPB	2014	5-15cm	Salvage_Harvested
Sample7	1st PreMPB_Old	1989	5-15cm	Non_Salvage_Harvested
Sample70	Late MPB	2014	5-15cm	Salvage_Harvested
Sample71	Late MPB	2014	5-15cm	Salvage_Harvested
Sample72	Late MPB	2012	5-15cm	Salvage_Harvested
Sample73	Late MPB	2013	5-15cm	Salvage_Harvested
Sample74	Late MPB	2013	5-15cm	Salvage_Harvested
Sample75	Late MPB	2013	5-15cm	Salvage_Harvested
Sample76	Recent Cuts	2019	5-15cm	Salvage_Harvested
Sample77	Early MPB	2008	5-15cm	Salvage_Harvested
Sample78	Early MPB	2008	5-15cm	Salvage_Harvested
Sample79	Early MPB	2008	5-15cm	Salvage_Harvested
Sample8	Recent Cuts	2019	5-15cm	Salvage_Harvested
Sample80	Early MPB	2008	5-15cm	Salvage_Harvested
Sample81	Early MPB	2008	5-15cm	Salvage_Harvested
Sample82	Early MPB	2008	5-15cm	Salvage_Harvested
Sample83	Old Forest	Matrix Forest	0-5cm	Non_Salvage_Harvested
Sample84	Old Forest	Matrix Forest	OrgC	Non_Salvage_Harvested
Sample85	Old Forest	Matrix Forest	NA	Non_Salvage_Harvested
Sample86	Old Forest	Matrix Forest	NA	Non_Salvage_Harvested
Sample87	Old Forest	Matrix Forest	0-5cm	Non_Salvage_Harvested
Sample88	Old Forest	Matrix Forest	0-5cm	Non_Salvage_Harvested
Sample89	Old Forest	Matrix Forest	0-5cm	Non_Salvage_Harvested
Sample9	Recent Cuts	2019	5-15cm	Salvage_Harvested
Sample90	Old Forest	Matrix Forest	5-15cm	Non_Salvage_Harvested
Sample91	Old Forest	Matrix Forest	OrgC	Non_Salvage_Harvested
Sample92	1st PreMPB_Old	1986	0-5cm	Non_Salvage_Harvested
Sample93	Old Forest	Matrix Forest	OrgC	Non_Salvage_Harvested
Sample94	Old Forest	Matrix Forest	OrgC	Non_Salvage_Harvested
Sample95	1st PreMPB_Old	1986	5-15cm	Non_Salvage_Harvested
Sample96	Old Forest	Matrix Forest	5-15cm	Non_Salvage_Harvested
Sample97	1st PreMPB_Old	1986	5-15cm	Non_Salvage_Harvested
Sample98	1st PreMPB_Old	1986	OrgC	Non_Salvage_Harvested
Sample99	1st PreMPB_Old	1986	0-5cm	Non_Salvage_Harvested
