SampleID	Original_Label	Corrected_ID	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	Salvage_Harvest_Status	Treatment_Moisture	Sequence_Counts	pH	Total_C_percent	Total_N_percent	Na_waterextract_mgperL	NH4_waterextract_mgperL	K_waterextract_mgperL	Mg_waterextract_mgperL	Ca_waterextract_mgperL	Cl_waterextract_mgperL	NO3_waterextract_mgperL	PO4_waterextract_mgperL	SO4_waterextract_mgperL
RT28	1Pre_W_2	RT28	Root Tip	Tree	Day_of_Harvest	2	1stPreMPB	Non_Salvage_Harvested	Wet	93143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT29	1Pre_W_5	RT29	Root Tip	Tree	Day_of_Harvest	5	1stPreMPB	Non_Salvage_Harvested	Wet	73079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT30	1Pre_W_8	RT30	Root Tip	Tree	Day_of_Harvest	8	1stPreMPB	Non_Salvage_Harvested	Wet	114689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT31	1Pre_W_17	RT31	Root Tip	Tree	Day_of_Harvest	17	1stPreMPB	Non_Salvage_Harvested	Wet	83522	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT32	1Pre_W_19	RT32	Root Tip	Tree	Day_of_Harvest	19	1stPreMPB	Non_Salvage_Harvested	Wet	67503	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT33	1Pre_W_22	RT33	Root Tip	Tree	Day_of_Harvest	22	1stPreMPB	Non_Salvage_Harvested	Wet	55693	5.762	22.897	0.7143	2.225135289	5.099829375	2.25641614	1.789050237	10.99234347	1.71669722	21.98400982	0.983840046	3.897869767
RT34	1Pre_W_27	RT34	Root Tip	Tree	Day_of_Harvest	27	1stPreMPB	Non_Salvage_Harvested	Wet	105152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT56	OG_W_8	RT56	Root Tip	Tree	Day_of_Harvest	8	Old_Forest	Non_Salvage_Harvested	Wet	86004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT57	OG_W_12	RT57	Root Tip	Tree	Day_of_Harvest	12	Old_Forest	Non_Salvage_Harvested	Wet	29080	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT58	OG_W_13	RT58	Root Tip	Tree	Day_of_Harvest	13	Old_Forest	Non_Salvage_Harvested	Wet	89529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
