SampleID	Treatment	Moisture	Salvage_Harvest_Status	Height	MeanCanWidth	RootDryMass	Aboveground_Biomass	RoottoShootRatio
2Pre_W_17	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	3.9	4.1	0.644554869	0.1852	3.480317864
2Pre_W_18	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
2Pre_W_19	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
2Pre_W_20	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	2.2	1.5	0.0508	0.0435	1.167816092
2Pre_W_21	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	NA	NA	0.0693	NA	NA
2Pre_W_22	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	5	4.9	1.454525993	NA	NA
2Pre_W_23	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
2Pre_W_24	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	3.9	4.7	0.46658156	0.158	2.95304785
2Pre_W_25	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
2Pre_W_26	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
2Pre_W_27	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
2Pre_W_28	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	5.5	4.85	0.448924581	0.1784	2.51639339
2Pre_W_29	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
2Pre_W_30	2nd_Pre_MPB	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
1Post_W_1	1st_Post_MPB	Wet	Salvage_Harvested	3.7	2.65	0.145	0.0569	2.548330404
1Post_W_2	1st_Post_MPB	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
1Post_W_3	1st_Post_MPB	Wet	Salvage_Harvested	1.4	1.1	0.0289	0.0111	2.603603604
1Post_W_4	1st_Post_MPB	Wet	Salvage_Harvested	NA	NA	NA	NA	NA
1Post_W_5	1st_Post_MPB	Wet	Salvage_Harvested	3.9	3.15	0.2054	0.0862	2.382830626
