Sample	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	MPB_Impacted	Treatment_Moisture	Amanita_pseudopantherina	Calonarius_caesiocinctus	Chroogomphus_pakistanicus	Cortinarius_albidipes	Cortinarius_alboadustus	Cortinarius_brunneoaffinis	Cortinarius_cepistipes	Cortinarius_clarisordidus	Cortinarius_collangustus	Cortinarius_deceptivissimus	Cortinarius_decipiens	Cortinarius_kauffmanianus	Cortinarius_majorinus	Cortinarius_miwok	Cortinarius_mucosus	Cortinarius_parvannulatus	Cortinarius_paululus	Cortinarius_subcarneinatus	Cortinarius_turgidipes	Hebeloma_erebium	Hebeloma_pungens	Hydnum_pallidomarginatum	Hydnum_subolympicum	Hygrophorus_fuscoalboides	Inocybe_purpureobadia	Inocybe_silvae-herbaceae	Laccaria_fagacicola	Lactarius_aurantiacopallens	Lactarius_miniatosporus	Mallocybe_sp	Phlegmacium_subfoetens	Piloderma_bicolor	Piloderma_lanatum	Piloderma_sp	Polyozellus_mariae	Pseudosperma_emberizanum	Rhizopogon_ellenae	Rhizopogon_sp	Russula_cremicolor	Russula_indocatillus	Russula_pseudotsugarum	Sarcodon_lidongensis	Suillus_luteus	Thaxterogaster_argyrionus	Thaxterogaster_rhipiduranus	Thelephora_atra	Thelephora_caryophyllea	Thelephora_sp	Tomentella_lammiensis	Tomentella_sp	Tomentellopsis_echinospora	Tomentellopsis_sp	Tricholoma_badicephalum	Tricholoma_bonii	Tricholoma_olivaceum	Tricholoma_populinum	Unknown	Wilcoxina_rehmii
SFSP162	Rhizosphere	Tree	Day_of_Harvest	25	2ndPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	35	57	0	0	0	0	0	0	38	0	0	0	0	0	0	114	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	51	1327
SFSP163	Rhizosphere	Tree	Day_of_Harvest	26	2ndPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	27	85	0	0	0	0	0	0	30	0	0	0	0	13	0	302	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	101	797
SFSP164	Rhizosphere	Tree	Day_of_Harvest	9	Recent_Cut	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	8	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	2514	0	0	0	0	0	0	0	0	34	19
SFSP165	Rhizosphere	Tree	Day_of_Harvest	15	Recent_Cut	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	9	0	0	0	0	0	4	0	0	0	0	0	0	0	1646	0	0	0	0	0	0	0	0	6	18
SFSP166	Rhizosphere	Tree	Day_of_Harvest	16	Recent_Cut	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	11	0	0	0	5	0	0	0	0	0	0	0	0	0	4027	0	0	0	0	0	0	0	0	8	0
SFSP167	Rhizosphere	Tree	Day_of_Harvest	17	Recent_Cut	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	14	0	0	0	7	0	0	0	0	0	0	0	0	0	3120	0	0	0	0	0	0	0	0	7	15
SFSP168	Rhizosphere	Tree	Day_of_Harvest	20	Recent_Cut	MPB	Wet	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	8	0	0	26	5	0	0	0	0	0	0	0	0	0	0	0	0	3277	0	0	0	0	0	0	5	0	17	100
SFSP169	Rhizosphere	Tree	Day_of_Harvest	22	Recent_Cut	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	24	0	0	0	6	0	0	0	2	0	0	0	0	0	64	0	0	0	0	0	0	0	0	46	25
SFSP170	Rhizosphere	Tree	Day_of_Harvest	26	Recent_Cut	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	41	0	0	0	4	0	0	0	0	6	0	0	0	0	4181	0	0	0	0	0	0	0	0	18	16
SFSP171	Rhizosphere	Tree	Day_of_Harvest	27	Recent_Cut	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	18	0	0	0	10	0	0	0	0	0	0	0	0	0	5145	0	0	0	0	0	0	0	0	6	9
SFSP84	Rhizosphere	Tree	Day_of_Harvest	1	2ndPreMPB	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	313	0	0	0	0	0	0	0	0	5	12
SFSP85	Rhizosphere	Tree	Day_of_Harvest	6	2ndPreMPB	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	14	0	0	0	8	0	0	0	0	0	0	0	0	0	695	0	0	0	0	0	0	0	0	6	51
SFSP86	Rhizosphere	Tree	Day_of_Harvest	7	2ndPreMPB	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	4	0	0	0	0	0	6	13	2	0	0	14	0	0	0	0	0	0	0	0	0	3281	0	0	0	0	0	0	0	0	46	133
SFSP87	Rhizosphere	Tree	Day_of_Harvest	13	2ndPreMPB	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	14	8	3	0	0	15	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	2	0	49	123
SFSP88	Rhizosphere	Tree	Day_of_Harvest	17	2ndPreMPB	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	12	20	0	0	0	125	0	0	0	0	0	0	0	0	0	3538	0	0	0	0	0	0	0	0	16	61
SFSP89	Rhizosphere	Tree	Day_of_Harvest	22	2ndPreMPB	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	5	4	24	0	0	0	22	0	0	0	0	6	0	0	0	0	53	0	0	0	0	0	0	0	0	31	66
SFSP90	Rhizosphere	Tree	Day_of_Harvest	24	2ndPreMPB	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	4	0	0	0	0	0	5	7	0	0	0	3	0	0	0	0	0	0	0	0	0	1234	0	0	0	0	0	0	0	0	39	28
SFSP91	Rhizosphere	Tree	Day_of_Harvest	28	2ndPreMPB	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	12	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1697	0	0	0	0	0	0	0	0	76	84
