Sample	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	MPB_Impacted	Treatment_Moisture	Amanita	Calonarius	Chroogomphus	Cortinarius	Hebeloma	Hydnum	Hygrophorus	Inocybe	Laccaria	Lactarius	Mallocybe	Phlegmacium	Piloderma	Polyozellus	Pseudosperma	Rhizopogon	Russula	Sarcodon	Suillus	Thaxterogaster	Thelephora	Tomentella	Tomentellopsis	Tricholoma	Wilcoxina
SFSP167	Rhizosphere	Tree	Day_of_Harvest	17	Recent_Cut	MPB	Wet	0	0	0	0	0	7	0	2	0	0	0	0	14	0	0	7	0	0	0	0	3120	0	0	0	15
SFSP168	Rhizosphere	Tree	Day_of_Harvest	20	Recent_Cut	MPB	Wet	0	0	0	2	2	10	0	8	0	0	0	8	26	5	0	0	0	0	0	0	3277	0	0	10	100
SFSP169	Rhizosphere	Tree	Day_of_Harvest	22	Recent_Cut	MPB	Wet	0	0	0	7	0	39	0	18	0	0	0	0	24	0	0	6	0	2	0	0	64	0	0	0	25
SFSP170	Rhizosphere	Tree	Day_of_Harvest	26	Recent_Cut	MPB	Wet	0	0	0	7	0	11	0	16	0	0	0	0	41	0	0	4	0	0	6	0	4181	0	0	0	16
SFSP171	Rhizosphere	Tree	Day_of_Harvest	27	Recent_Cut	MPB	Wet	0	0	0	0	0	3	0	26	0	0	0	0	18	0	0	10	0	0	0	0	5145	0	0	3	9
SFSP84	Rhizosphere	Tree	Day_of_Harvest	1	2ndPreMPB	Non_MPB	Wet	0	0	0	0	0	0	0	8	4	5	0	0	2	0	0	6	0	0	0	0	313	0	0	0	12
SFSP85	Rhizosphere	Tree	Day_of_Harvest	6	2ndPreMPB	Non_MPB	Wet	0	0	0	0	0	0	0	9	0	6	0	0	14	0	0	8	0	0	0	0	695	0	0	0	51
SFSP86	Rhizosphere	Tree	Day_of_Harvest	7	2ndPreMPB	Non_MPB	Wet	0	0	0	9	0	2	0	41	4	35	0	0	19	2	0	14	0	0	0	0	3281	0	0	0	133
SFSP87	Rhizosphere	Tree	Day_of_Harvest	13	2ndPreMPB	Non_MPB	Wet	0	0	0	13	0	0	0	87	0	36	0	0	22	3	0	15	0	0	0	0	135	0	0	2	123
SFSP88	Rhizosphere	Tree	Day_of_Harvest	17	2ndPreMPB	Non_MPB	Wet	0	0	0	8	0	0	0	15	0	3	0	0	32	0	0	130	0	0	0	0	3538	0	0	0	61
SFSP89	Rhizosphere	Tree	Day_of_Harvest	22	2ndPreMPB	Non_MPB	Wet	0	0	0	4	0	0	0	11	0	31	0	0	33	0	0	22	0	0	6	0	53	0	0	0	66
SFSP90	Rhizosphere	Tree	Day_of_Harvest	24	2ndPreMPB	Non_MPB	Wet	0	0	0	0	0	0	0	19	4	39	0	0	12	0	0	3	0	0	0	0	1234	0	0	0	28
SFSP91	Rhizosphere	Tree	Day_of_Harvest	28	2ndPreMPB	Non_MPB	Wet	0	0	0	5	0	0	0	50	12	51	0	0	28	0	0	0	0	0	0	0	1697	0	0	0	84
